"","VIN..1.10.","County","City","State","Postal.Code","Model.Year","Make","Model","Electric.Vehicle.Type","Clean.Alternative.Fuel.Vehicle..CAFV..Eligibility","Electric.Range","Base.MSRP","Legislative.District","DOL.Vehicle.ID","Vehicle.Location","Electric.Utility","X2020.Census.Tract"
"907","5YJSA1CNXC","King","Burien","WA",98146,2012,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",265,59900,34,311935865,"POINT (-122.3551826 47.5000521)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033027500
"908","WMZYU7C50K","King","Maple Valley","WA",98038,2019,"MINI","COUNTRYMAN","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",12,36900,5,203498963,"POINT (-122.0310296 47.3861675)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032008
"909","KNDJP3AEXG","Kitsap","Bremerton","WA",98311,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,23,244500119,"POINT (-122.636245 47.62806)","PUGET SOUND ENERGY INC",53035091701
"910","5YJSA1DP0D","King","Seattle","WA",98126,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,34,131849133,"POINT (-122.3752214 47.5465949)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033009900
"911","5YJSA1CG1D","King","Seattle","WA",98103,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,43,149440917,"POINT (-122.3499053 47.673887)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033004902
"912","WP0AH2A76J","King","Seatac","WA",98188,2018,"PORSCHE","PANAMERA","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,184400,33,277238377,"POINT (-122.29179 47.43473)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033028100
"913","5YJSA1H17E","King","Sammamish","WA",98075,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,41,239076848,"POINT (-122.0181135 47.5880568)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032213
"914","5YJSA1DP8D","King","Seattle","WA",98199,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,36,203578273,"POINT (-122.394937 47.649547)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033005801
"915","2C4RC1H74K","Clark","Camas","WA",98607,2019,"CHRYSLER","PACIFICA","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible",32,39995,18,141948404,"POINT (-122.4220033 45.6092439)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011040608
"916","5YJRE11B08","King","Seattle","WA",98103,2008,"TESLA","ROADSTER","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",220,98950,43,105108503,"POINT (-122.3499053 47.673887)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033004901
"917","WBAJA9C52J","King","Seatac","WA",98188,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",16,52650,33,260194630,"POINT (-122.29179 47.43473)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033028402
"918","5YJSA1CP1D","Kitsap","Bremerton","WA",98312,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,26,164768075,"POINT (-122.6961203 47.5759584)","PUGET SOUND ENERGY INC",53035081100
